index,title,media,point
238.0,美赠250万剂疫苗 外交部：展现对台坚定支持与高度重视,udn,1.0
27931.0,美赠250万剂疫苗 总统府证实：萧美琴已前往代表接收,udn,0.9469829797744751
19318.0,美赠250万剂疫苗抵台 陈其迈：台美真朋友真进展,cna,0.9465761184692383
36629.0,娇生疫苗爆产线污染 外媒：美再准1500万剂出口海外,chinatimes,0.9384117722511292
22961.0,美赠250万剂疫苗  吴钊燮：台湾人永远铭记在心,cna,0.913953423500061
56647.0,美赠250万剂疫苗 萧美琴：加倍的爱启程运往台湾,chinatimes,0.8897879123687744
17135.0,美赠250万剂疫苗将抵台 吴钊燮：台美关系坚若磐石,cna,0.8743146657943726
30013.0,美国赠台250万剂  张丽善：及时雨解决疫苗荒,ltn,0.8694922924041748
17549.0,美国赠台250万剂疫苗 谢长廷：可体会法律程序复杂和辛劳,udn,0.8674554228782654
14604.0,250万剂疫苗援台幕后 台美零时差共同努力,cna,0.8601031303405762
50242.0,250万剂疫苗援台幕后 台美零时差共同努力,udn,0.8601031303405762
27641.0,美赠250万剂疫苗蓝营首长噤声？ 许智杰：党中央有感谢,ltn,0.8625484704971313
14604.0,250万剂疫苗援台幕后 台美零时差共同努力,cna,0.8601031303405762
50242.0,250万剂疫苗援台幕后 台美零时差共同努力,udn,0.8601031303405762
22803.0,赠台250万剂疫苗 AIT：不会忘记台湾先前对美医疗援助,udn,0.8569247126579285
7994.0,美250万剂疫苗今抵台  郑文灿：台美真朋友,ltn,0.8530252575874329
1859.0,美方再赠250万剂疫苗 江启臣：疫苗不能单靠国际援助,udn,0.8438014984130859
32908.0,白宫：本月完成分配8000万剂疫苗 即刻出货,ltn,0.8435049653053284
53703.0,美捐赠我国疫苗加码至250万剂 政院：患难见真情,ltn,0.840173065662384
26214.0,美国赠台250万剂疫苗 绿营批：蓝营百般无奈口头感谢,udn,0.839327335357666
8278.0,美赠台250万剂疫苗 陆外交部：民进党谎称大陆阻买疫苗,udn,0.8386976718902588
29888.0,美赠250万剂莫德纳疫苗 黄敏惠：真的非常感动,ltn,0.8361530900001526
14947.0,白宫：未来几天分配完8000万剂疫苗 即刻出货,chinatimes,0.7759473323822021
22114.0,白宫：未来几天分配完8000万剂疫苗 即刻出货,cna,0.7759473323822021
56745.0,白宫：未来几天分配完8000万剂疫苗 即刻出货,udn,0.7759473323822021
44231.0,美赠250万剂疫苗 绿县市首长发文致谢,cts,0.8288391828536987
39750.0,国产疫苗预购1000万剂 高虹安质疑：预算法源不清急什么,ltn,0.8183227777481079
13359.0,美国加码赠台250万剂疫苗 民进党：非常温暖,cts,0.8181829452514648
6630.0,美赠250万剂疫苗 王定宇：化解中国打压台湾压力,udn,0.8167411088943481
3297.0,美赠台250万剂疫苗 北京弹老调：干涉中国内政,ltn,0.8166055679321289
14992.0,美国赠250万剂疫苗 总统：印证台美友好坚若磐石,cna,0.8158669471740723
23332.0,美国加码捐赠250万剂疫苗 行政院：患难之际相助心存感激,chinatimes,0.8149165511131287
481.0,美捐赠疫苗250万剂 江启臣：印证台美情谊,cna,0.8140252828598022
4386.0,美国赠我250万剂疫苗 苏贞昌：非常感动 ,ltn,0.8126640915870667
10382.0,美国赠250万剂疫苗 苏贞昌：真的非常感动,cna,0.8124833106994629
30076.0,党输了！美国250万剂疫苗抵台 中国网民狂骂国台办：丢人现眼,ltn,0.8101523518562317
14411.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,chinatimes,0.8091899156570435
16133.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,cna,0.8091899156570435
24903.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,udn,0.8091899156570435
14411.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,chinatimes,0.8091899156570435
16133.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,cna,0.8091899156570435
24903.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,udn,0.8091899156570435
14411.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,chinatimes,0.8091899156570435
16133.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,cna,0.8091899156570435
24903.0,纽时：美捐台250万剂疫苗 美中关系恐更紧绷,udn,0.8091899156570435
24715.0,罗智强称美捐250万剂疫苗是郭董功劳 江启臣：罗是强调蔡政府疫苗政策错误,ltn,0.8044561147689819
15645.0,美国250万剂疫苗将抵台 陈其迈：台美互信互助情谊深厚,udn,0.8016114830970764
13787.0,批蔡政府遗弃岛上一半人民 陈文茜示警：疫苗到年底还短少2000万剂,chinatimes,0.7908874750137329
41423.0,美捐赠疫苗追加至250万剂 AIT：台湾是可信赖的朋友,cna,0.7900861501693726
6192.0,美捐赠疫苗250万剂  民进党：感谢实际行动助台,cna,0.7886495590209961
48383.0,美国捐赠250万剂疫苗 总统府：萧美琴已代表政府正式接收,ltn,0.7843046188354492
38292.0,美援250万剂莫德纳疫苗明抵台 黄伟哲：真朋友真进展,ltn,0.7834275960922241
8893.0,菲律宾收到1270万剂疫苗 59%为科兴,udn,0.7816109657287598
9776.0,菲律宾收到1270万剂疫苗 59%为科兴,cna,0.7816109657287598
20089.0,菲律宾收到1270万剂疫苗 59%为科兴,cts,0.7816109657287598
8893.0,菲律宾收到1270万剂疫苗 59%为科兴,udn,0.7816109657287598
9776.0,菲律宾收到1270万剂疫苗 59%为科兴,cna,0.7816109657287598
20089.0,菲律宾收到1270万剂疫苗 59%为科兴,cts,0.7816109657287598
8893.0,菲律宾收到1270万剂疫苗 59%为科兴,udn,0.7816109657287598
9776.0,菲律宾收到1270万剂疫苗 59%为科兴,cna,0.7816109657287598
20089.0,菲律宾收到1270万剂疫苗 59%为科兴,cts,0.7816109657287598
8111.0,美赠250万剂疫苗 陈时中郦英杰亲接机,ltn,0.7793678045272827
4384.0,赠台疫苗 美国务院：美台人民情谊是关系基础,cna,0.7447797060012817
8267.0,赠台疫苗 美国务院：美台人民情谊是关系基础,udn,0.7447797060012817
40800.0,赠台疫苗 美国务院：美台人民情谊是关系基础,chinatimes,0.7447797060012817
52714.0,赠台疫苗 美国务院：美台人民情谊是关系基础,cna,0.7447797060012817
